task,cost,params,memory,status
233,70602,644,69958,ok
18,66094,3037,63057,ok
286,52015,739,51276,ok
118,42418,4769,37649,ok
187,40446,1546,38900,ok
349,38986,1186,37800,ok
366,37446,491,36955,ok
209,35498,200,35298,ok
158,35396,2343,33053,ok
133,33573,1278,32295,ok
2,33317,33,33284,ok
191,31215,92,31123,ok
54,27133,238,26895,ok
285,25632,552,25080,ok
364,25209,109,25100,ok
367,25127,5127,20000,ok
76,25005,292,24713,ok
255,24746,314,24432,ok
173,23271,112,23159,ok
243,22650,42,22608,ok
319,22224,269,21955,ok
66,19647,652,18995,ok
80,18821,116,18705,ok
202,18743,18,18725,ok
219,18417,92,18325,ok
338,17943,689,17254,ok
101,17925,909,17016,ok
198,17097,136,16961,ok
23,16333,178,16155,ok
205,15552,644,14908,ok
77,14834,74,14760,ok
25,14267,195,14072,ok
110,13789,634,13155,ok
138,13765,222,13543,ok
145,13215,111,13104,ok
17,12735,1804,10931,ok
157,12707,588,12119,ok
64,12478,70,12408,ok
44,11678,48,11630,ok
204,11495,455,11040,ok
340,10994,136,10858,ok
379,10954,1274,9680,ok
29,10766,38,10728,ok
370,10411,1267,9144,ok
396,9608,119,9489,ok
174,9329,201,9128,ok
74,9275,1813,7462,ok
216,9135,87,9048,ok
350,9036,24,9012,ok
96,8953,805,8148,ok
324,8916,1586,7330,ok
192,8621,106,8515,ok
9,8410,1081,7329,ok
377,8373,107,8266,ok
222,8321,45,8276,ok
14,8069,88,7981,ok
182,7579,71,7508,ok
383,7305,41,7264,ok
89,7196,75,7121,ok
5,7019,490,6529,ok
92,7007,182,6825,ok
328,6912,1941,4971,ok
234,6854,45,6809,ok
165,6369,236,6133,ok
368,6225,203,6022,ok
278,6131,47,6084,ok
208,6083,109,5974,ok
280,6056,752,5304,ok
264,6054,706,5348,ok
148,6007,248,5759,ok
382,5772,120,5652,ok
8,5626,65,5561,ok
398,5607,190,5417,ok
85,5381,881,4500,ok
4,5378,94,5284,ok
387,5059,105,4954,ok
277,4947,46,4901,ok
251,4920,168,4752,ok
361,4839,367,4472,ok
279,4827,87,4740,ok
363,4749,276,4473,ok
37,4746,132,4614,ok
201,4658,299,4359,ok
196,4538,38,4500,ok
55,4537,277,4260,ok
358,4494,143,4351,ok
359,4288,19,4269,ok
335,4216,670,3546,ok
206,4184,79,4105,ok
117,4165,243,3922,ok
132,4089,99,3990,ok
107,4078,1154,2924,ok
265,4073,34,4039,ok
162,4068,44,4024,ok
365,4028,120,3908,ok
131,3987,675,3312,ok
50,3909,84,3825,ok
69,3909,61,3848,ok
177,3822,130,3692,ok
284,3735,653,3082,ok
161,3729,34,3695,ok
378,3728,116,3612,ok
93,3583,103,3480,ok
137,3526,93,3433,ok
125,3463,29,3434,ok
268,3384,256,3128,ok
333,3227,435,2792,ok
250,3218,142,3076,ok
79,3144,79,3065,ok
86,3136,190,2946,ok
35,3122,128,2994,ok
42,3110,318,2792,ok
90,3092,82,3010,ok
390,3091,467,2624,ok
19,3079,82,2997,ok
354,3077,79,2998,ok
270,3069,327,2742,ok
310,3051,45,3006,ok
330,3022,222,2800,ok
91,3021,175,2846,ok
70,3008,31,2977,ok
105,2962,106,2856,ok
256,2948,50,2898,ok
397,2848,200,2648,ok
224,2831,371,2460,ok
394,2801,930,1871,ok
355,2775,27,2748,ok
154,2760,99,2661,ok
246,2753,419,2334,ok
245,2743,139,2604,ok
190,2727,247,2480,ok
94,2713,51,2662,ok
71,2698,55,2643,ok
197,2602,16,2586,ok
170,2545,329,2216,ok
62,2536,71,2465,ok
102,2527,113,2414,ok
184,2520,60,2460,ok
388,2500,218,2282,ok
238,2495,444,2051,ok
30,2396,148,2248,ok
281,2386,65,2321,ok
34,2365,167,2198,ok
212,2360,182,2178,ok
163,2345,110,2235,ok
46,2318,97,2221,ok
374,2304,42,2262,ok
22,2302,298,2004,ok
336,2288,1196,1092,ok
134,2284,34,2250,ok
348,2277,169,2108,ok
12,2264,188,2076,ok
168,2239,143,2096,ok
381,2198,70,2128,ok
36,2177,37,2140,ok
323,2177,656,1521,ok
273,2160,51,2109,ok
325,2133,123,2010,ok
260,2114,310,1804,ok
11,2090,126,1964,ok
84,2038,241,1797,ok
343,2037,110,1927,ok
63,2011,283,1728,ok
275,2011,637,1374,ok
287,1994,295,1699,ok
185,1961,310,1651,ok
392,1955,349,1606,ok
124,1953,74,1879,ok
13,1930,61,1869,ok
213,1918,49,1869,ok
237,1918,140,1778,ok
99,1911,278,1633,ok
88,1872,81,1791,ok
400,1866,66,1800,ok
199,1837,88,1749,ok
51,1803,101,1702,ok
41,1789,59,1730,ok
109,1779,93,1686,ok
112,1774,158,1616,ok
302,1774,558,1216,ok
156,1744,47,1697,ok
45,1673,623,1050,ok
169,1670,170,1500,ok
61,1668,35,1633,ok
351,1651,19,1632,ok
33,1639,33,1606,ok
226,1633,20,1613,ok
303,1620,22,1598,ok
295,1604,47,1557,ok
369,1599,299,1300,ok
342,1585,75,1510,ok
159,1568,149,1419,ok
20,1526,170,1356,ok
141,1505,101,1404,ok
345,1495,64,1431,ok
308,1488,103,1385,ok
75,1487,161,1326,ok
240,1475,82,1393,ok
217,1470,41,1429,ok
304,1441,37,1404,ok
341,1429,35,1394,ok
232,1410,1410,0,ok
297,1389,39,1350,ok
119,1365,121,1244,ok
123,1343,940,403,ok
160,1334,170,1164,ok
356,1319,19,1300,ok
27,1310,48,1262,ok
78,1293,33,1260,ok
293,1288,41,1247,ok
175,1275,937,338,ok
346,1254,30,1224,ok
183,1230,222,1008,ok
136,1213,34,1179,ok
188,1206,60,1146,ok
271,1187,46,1141,ok
244,1179,103,1076,ok
21,1170,98,1072,ok
48,1146,116,1030,ok
301,1141,64,1077,ok
1,1121,26,1095,ok
254,1098,19,1079,ok
10,1090,340,750,ok
329,1059,30,1029,ok
115,1043,63,980,ok
58,1033,781,252,ok
225,1033,107,926,ok
60,1010,1010,0,ok
31,988,46,942,ok
108,971,107,864,ok
228,962,113,849,ok
288,958,189,769,ok
194,949,49,900,ok
239,947,50,897,ok
195,921,39,882,ok
189,915,49,866,ok
32,910,910,0,ok
97,910,910,0,ok
120,910,910,0,ok
171,910,910,0,ok
193,910,910,0,ok
283,910,910,0,ok
294,910,910,0,ok
331,910,910,0,ok
344,910,910,0,ok
259,905,52,853,ok
139,904,139,765,ok
15,900,900,0,ok
98,900,900,0,ok
114,900,900,0,ok
151,900,900,0,ok
220,900,900,0,ok
230,900,900,0,ok
327,881,71,810,ok
106,869,93,776,ok
47,862,36,826,ok
143,838,247,591,ok
122,810,810,0,ok
221,805,354,451,ok
153,795,54,741,ok
43,794,206,588,ok
267,772,38,734,ok
320,770,322,448,ok
214,767,41,726,ok
178,764,62,702,ok
200,756,186,570,ok
215,750,72,678,ok
289,742,124,618,ok
372,710,710,0,ok
269,709,24,685,ok
263,680,117,563,ok
218,676,104,572,ok
57,668,30,638,ok
65,641,59,582,ok
305,636,340,296,ok
152,629,125,504,ok
68,623,123,500,ok
126,605,15,590,ok
384,593,53,540,ok
253,592,52,540,ok
332,563,134,429,ok
59,557,292,265,ok
100,543,89,454,ok
300,540,66,474,ok
111,535,7,528,ok
147,532,100,432,ok
362,521,113,408,ok
146,495,107,388,ok
39,480,56,424,ok
128,480,480,0,ok
247,470,62,408,ok
371,467,91,376,ok
81,464,72,392,ok
352,460,460,0,ok
83,447,71,376,ok
282,446,39,407,ok
292,434,182,252,ok
242,432,60,372,ok
316,426,38,388,ok
72,421,31,390,ok
203,409,1,408,ok
257,409,409,0,ok
272,402,202,200,ok
127,396,192,204,ok
211,396,156,240,ok
49,386,134,252,ok
40,374,134,240,ok
181,369,168,201,ok
290,355,63,292,ok
266,350,35,315,ok
375,350,242,108,ok
95,345,100,245,ok
121,341,66,275,ok
360,340,340,0,ok
353,334,62,272,ok
296,330,45,285,ok
3,302,21,281,ok
306,300,300,0,ok
321,300,300,0,ok
357,291,33,258,ok
249,287,39,248,ok
142,282,138,144,ok
252,260,260,0,ok
104,254,57,197,ok
176,240,240,0,ok
229,240,28,212,ok
236,237,29,208,ok
207,236,44,192,ok
315,230,230,0,ok
52,227,14,213,ok
274,226,80,146,ok
231,219,39,180,ok
38,213,50,163,ok
386,211,31,180,ok
180,210,210,0,ok
26,200,200,0,ok
135,200,200,0,ok
261,200,200,0,ok
322,200,56,144,ok
334,197,8,189,ok
313,192,192,0,ok
82,190,190,0,ok
376,186,42,144,ok
235,170,59,111,ok
28,168,168,0,ok
395,165,21,144,ok
258,160,160,0,ok
391,159,24,135,ok
150,158,30,128,ok
155,158,30,128,ok
6,153,27,126,ok
248,151,29,122,ok
167,148,128,20,ok
317,146,18,128,ok
393,144,19,125,ok
347,143,26,117,ok
339,140,100,40,ok
389,140,12,128,ok
149,136,100,36,ok
298,135,15,120,ok
7,127,127,0,ok
24,110,110,0,ok
262,106,16,90,ok
144,104,104,0,ok
186,103,23,80,ok
227,100,100,0,ok
314,100,100,0,ok
318,100,100,0,ok
380,99,99,0,ok
399,91,20,71,ok
129,80,0,80,ok
291,68,28,40,ok
103,60,24,36,ok
373,60,60,0,ok
299,50,50,0,ok
67,47,8,39,ok
73,40,40,0,ok
56,34,0,34,ok
53,30,30,0,ok
113,30,30,0,ok
116,30,30,0,ok
130,30,30,0,ok
164,30,30,0,ok
172,30,30,0,ok
210,30,30,0,ok
311,30,30,0,ok
326,30,30,0,ok
385,30,30,0,ok
166,24,24,0,ok
312,20,20,0,ok
16,10,10,0,ok
276,10,10,0,ok
309,10,10,0,ok
337,10,10,0,ok
87,5,5,0,ok
140,5,5,0,ok
223,5,5,0,ok
307,5,5,0,ok
179,0,0,0,ok
241,0,0,0,ok
